                                                    Cleaned dataset                                                     

Sale_ID  Sales_Rep   Sale_Date  Region   Channel  Product_Name  Cost_Per_unit        Unit_Price  Units_Sold  Discount_Pct              Revenue          Net_Revenue               Profit  Profit_Margin
      .  R103       20/03/2024  East    Hospital  Antibio-Plus       2153.228   Rs 00000003,914      483775         5.00%   Rs 01,89,39,59,774   Rs 01,79,92,61,785    Rs 0075,75,83,909         40.00%
      .  Unknown    20/03/2024  East    Online    Antibio-Plus       2153.228   Rs 00000003,914      358373         5.00%   Rs 01,40,30,15,960   Rs 01,33,28,65,162    Rs 0056,12,06,384         40.00%
      .  R102       15/01/2024  North   Hospital  Antibio-Plus      2232.7415   Rs 00000004,059      220293         0.00%    Rs 0089,42,86,042    Rs 0089,42,86,042    Rs 0040,24,28,719         45.00%
      .  R102       15/02/2024  South   Hospital  Coldcure          1496.0475   Rs 00000003,324      791032         5.00%   Rs 02,62,98,25,435   Rs 02,49,83,34,163   Rs 01,31,49,12,717         50.00%
      .  R104       15/01/2024  South   Hospital  Coldcure          2060.5455   Rs 00000004,578      443317         5.00%   Rs 02,02,99,44,109   Rs 01,92,84,46,904   Rs 01,01,49,72,054         50.00%
      .  Unknown    10/04/2024  North   Hospital  Coldcure           2065.329   Rs 00000004,589      421763         5.00%   Rs 01,93,57,31,900   Rs 01,83,89,45,305    Rs 0096,78,65,950         50.00%
      .  R101       20/03/2024  West    Hospital  Coldcure            692.109   Rs 00000001,538      192340        10.00%    Rs 0029,58,22,766    Rs 0026,62,40,490    Rs 0013,31,20,245         45.00%
      .  R103       15/02/2024  East    Hospital  Coldcure              973.8   Rs 00000002,164      254363         5.00%    Rs 0055,04,41,532    Rs 0052,29,19,455    Rs 0027,52,20,766         50.00%
      .  Unknown             .  South   Hospital  Coldcure          2060.5455   Rs 00000004,578      448657         5.00%   Rs 02,05,43,95,916   Rs 01,95,16,76,120   Rs 01,02,71,97,958         50.00%
      .  R101       20/03/2024  North   Hospital  Coldcure           566.2755   Rs 00000001,258      219315         0.00%    Rs 0027,59,83,802    Rs 0027,59,83,802    Rs 0015,17,91,091         55.00%
      .  R104       15/01/2024  South   Online    Coldcure          1496.0475   Rs 00000003,324      234607         5.00%    Rs 0077,99,62,701    Rs 0074,09,64,566    Rs 0038,99,81,350         50.00%
      .  R103       10/04/2024  West    Online    Coldcure            692.109   Rs 00000001,538      280702         5.00%    Rs 0043,17,25,290    Rs 0041,01,39,025    Rs 0021,58,62,645         50.00%
      .  R104       20/03/2024  South   Online    Painrelief-X        1716.32   Rs 00000003,432      243550         5.00%    Rs 0083,60,19,472    Rs 0079,42,18,498    Rs 0037,62,08,762         45.00%
      .  R101       15/01/2024  East    Hospital  Painrelief-X         664.46   Rs 00000001,328      358476         5.00%    Rs 0047,63,85,925    Rs 0045,25,66,629    Rs 0021,43,73,666         45.00%
      .  R102       10/04/2024  South   Hospital  Painrelief-X        2233.27   Rs 00000004,466      841425         5.00%   Rs 03,75,82,58,419   Rs 03,57,03,45,498   Rs 01,69,12,16,288         45.00%
      .  Unknown    15/01/2024  North   Online    Painrelief-X       2036.925   Rs 00000004,073      513413         0.00%   Rs 02,09,15,67,550   Rs 02,09,15,67,550   Rs 01,04,57,83,775         50.00%
      .  R102       10/04/2024  East    Online    Painrelief-X         664.46   Rs 00000001,328      453752         0.00%    Rs 0060,30,00,107    Rs 0060,30,00,107    Rs 0030,15,00,053         50.00%
      .  R103       15/01/2024  East    Retail    Painrelief-X        945.655   Rs 00000001,891      164092         5.00%    Rs 0031,03,48,840    Rs 0029,48,31,398    Rs 0013,96,56,978         45.00%
      .  R104                .  East    Online    Painrelief-X        945.655   Rs 00000001,891      106374         5.00%    Rs 0020,11,86,209    Rs 0019,11,26,899    Rs 0009,05,33,794         45.00%
      .  R101       15/01/2024  West    Hospital  Painrelief-X        1285.32   Rs 00000002,570      897772         5.00%   Rs 02,30,78,48,614   Rs 02,19,24,56,183   Rs 01,03,85,31,876         45.00%
      .  R102       15/02/2024  South   Online    Painrelief-X        1361.49   Rs 00000002,722      734010         0.00%   Rs 01,99,86,94,549   Rs 01,99,86,94,549    Rs 0099,93,47,274         50.00%
      .  R101       15/02/2024  North   Hospital  Painrelief-X       2036.925   Rs 00000004,073      354691         5.00%   Rs 01,44,49,57,930   Rs 01,37,27,10,033    Rs 0065,02,31,068         45.00%
      .  R101       15/02/2024  South   Retail    Painrelief-X        1716.32   Rs 00000003,432      735362         5.00%   Rs 02,52,42,33,015   Rs 02,39,80,21,364   Rs 01,13,59,04,857         45.00%
   1001  Unknown             .  East    Online    Vitaboost          2962.758   Rs 00000004,937      730663         5.00%   Rs 03,60,79,62,747   Rs 03,42,75,64,610   Rs 01,26,27,86,961         35.00%
